County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,Unknown OP,Unknown Total,Total Rep,Total Dem,Total OP,Total Total
Glades                   ,28,90,26,144,5,11,6,22,11,405,28,444,113,292,159,564,2171,2278,909,5358,18,25,11,54,3,9,8,20,1,1,3,5,2350,3111,1150,6611
Gulf                     ,19,20,3,42,17,11,6,34,37,871,60,968,28,38,13,79,4475,3387,1101,8963,21,23,17,61,5,8,7,20,9,11,23,43,4611,4369,1230,10210
Hamilton                 ,8,6,4,18,16,6,13,35,82,2108,153,2343,46,79,49,174,2117,2567,765,5449,15,16,11,42,2,5,11,18,1,2,4,7,2287,4789,1010,8086
Hardee                   ,12,11,7,30,21,43,30,94,41,632,94,767,533,1130,632,2295,4306,2775,1127,8208,54,63,33,150,11,10,8,29,33,43,71,147,5011,4707,2002,11720
Hendry                   ,32,107,51,190,28,54,27,109,75,2249,211,2535,1315,2221,1209,4745,4543,3378,1512,9433,84,162,91,337,26,37,20,83,11,6,28,45,6114,8214,3149,17477
Hernando                 ,191,138,162,491,343,345,413,1101,265,4353,897,5515,2304,5116,2994,10414,49221,32035,28049,109305,474,609,635,1718,108,202,234,544,243,300,1008,1551,53149,43098,34392,130639
Highlands                ,83,92,63,238,228,145,255,628,214,3978,693,4885,1510,2812,2141,6463,25585,12740,9807,48132,226,240,181,647,44,68,79,191,87,104,228,419,27977,20179,13447,61603
Hillsborough             ,913,1029,854,2796,5181,6885,10380,22446,4854,103529,24750,133133,26345,63310,52330,141985,223481,145775,136547,505803,2067,4096,3798,9961,1129,3428,3385,7942,3873,7868,14031,25772,267843,335920,246075,849838
Holmes                   ,43,24,5,72,23,13,7,43,23,159,32,214,30,28,11,69,5786,3793,1135,10714,22,15,12,49,8,4,10,22,17,9,21,47,5952,4045,1233,11230
Indian River             ,120,67,86,273,321,221,342,884,348,5441,1092,6881,1132,1949,1906,4987,46912,20572,22893,90377,460,431,469,1360,73,116,147,336,352,375,822,1549,49718,29172,27757,106647
Jackson                  ,58,57,20,135,31,31,26,88,192,5860,418,6470,120,107,74,301,9476,9468,2341,21285,78,179,64,321,31,29,39,99,55,99,99,253,10041,15830,3081,28952
Jefferson                ,11,8,4,23,9,15,4,28,23,2882,110,3015,32,35,19,86,2638,2768,847,6253,7,39,22,68,6,6,3,15,3,5,10,18,2729,5758,1019,9506
Lafayette                ,2,2,1,5,5,0,1,6,13,215,10,238,41,56,21,118,1438,2368,267,4073,4,6,2,12,1,2,4,7,0,3,3,6,1504,2652,309,4465
Lake                     ,253,204,194,651,822,1080,1165,3067,961,14296,2807,18064,3905,8236,6518,18659,90069,43331,41604,175004,810,1392,1210,3412,269,501,479,1249,363,701,1262,2326,97452,69741,55239,222432
Lee                      ,511,343,331,1185,1285,1291,1963,4539,1160,17221,4945,23326,8428,16736,15211,40375,171016,77092,93204,341312,659,878,981,2518,425,781,846,2052,2253,2394,3984,8631,185737,116736,121465,423938
Leon                     ,188,304,171,663,690,1540,1358,3588,1288,48683,7197,57168,2014,4015,2578,8607,51582,50780,23725,126087,670,1719,1286,3675,253,1182,719,2154,458,1283,2652,4393,57143,109506,39686,206335
Levy                     ,30,24,21,75,46,41,38,125,108,1808,195,2111,250,358,280,888,11664,7005,4417,23086,119,187,139,445,19,23,20,62,8,14,19,41,12244,9460,5129,26833
Liberty                  ,11,27,5,43,1,8,3,12,8,371,22,401,11,26,5,42,700,2956,314,3970,2,4,4,10,0,3,3,6,0,3,10,13,733,3398,366,4497
Madison                  ,12,17,4,33,13,10,7,30,84,3681,193,3958,37,59,42,138,2986,3198,870,7054,32,124,27,183,7,13,6,26,30,61,54,145,3201,7163,1203,11567
Manatee                  ,304,216,225,745,1062,889,1316,3267,598,12324,2374,15296,2833,6096,5096,14025,94158,49872,47045,191075,668,759,926,2353,236,472,496,1204,615,804,1692,3111,100474,71432,59170,231076
Marion                   ,370,295,219,884,757,815,769,2341,995,19239,2632,22866,4136,8500,4848,17484,94166,47428,39910,181504,779,1157,842,2778,230,437,379,1046,387,592,959,1938,101820,78463,50558,230841
Martin                   ,123,77,82,282,281,222,348,851,343,2863,608,3814,1348,1869,1703,4920,52834,22321,23726,98881,335,274,394,1003,96,157,187,440,137,172,435,744,55497,27955,27483,110935
Miami-Dade               ,421,1284,675,2380,2566,6334,7210,16110,6510,199372,33502,239384,272148,248008,265136,785292,78682,101648,72987,253317,2035,4456,3942,10433,893,3884,3317,8094,9149,20821,34250,64220,372404,585807,421019,1379230
Monroe                   ,80,97,60,237,123,157,172,452,88,1351,428,1867,2020,1939,1673,5632,18322,13898,12868,45088,64,71,103,238,37,91,85,213,232,319,471,1022,20966,17923,15860,54749
Nassau                   ,120,44,53,217,175,84,156,415,192,2676,414,3282,392,288,341,1021,33718,10343,10719,54780,340,324,186,850,68,45,71,184,167,99,277,543,35172,13903,12217,61292
Okaloosa                 ,457,124,166,747,1715,531,1139,3385,969,7202,2308,10479,1874,1268,1746,4888,71785,16201,23477,111463,860,385,570,1815,406,321,573,1300,464,321,816,1601,78530,26353,30795,135678
Okeechobee               ,32,41,25,98,32,49,47,128,47,831,110,988,417,909,639,1965,7738,5690,2832,16260,76,99,103,278,22,17,27,66,45,39,141,225,8409,7675,3924,20008
Orange                   ,607,1028,690,2325,6775,9372,11886,28033,4635,105711,23910,134256,26566,88495,67839,182900,167375,106659,102755,376789,2129,5707,4793,12629,1193,4023,3533,8749,3818,9895,17094,30807,213098,330890,232500,776488
Osceola                  ,180,237,161,578,816,1559,1549,3924,668,12423,3402,16493,10618,45785,32488,88891,33446,21478,21421,76345,671,1966,1577,4214,239,800,718,1757,452,1591,2081,4124,47090,85839,63397,196326
Palm Beach               ,576,950,693,2219,2984,5779,7231,15994,3993,98995,21105,124093,19319,43232,36328,98879,220824,217805,174081,612710,1423,3442,3162,8027,901,2660,2487,6048,4899,11278,17495,33672,254919,384141,262582,901642
Pasco                    ,485,370,432,1287,1562,1630,2366,5558,783,11120,3352,15255,6308,12312,9927,28547,119149,78609,76724,274482,1510,1775,2069,5354,364,706,802,1872,621,994,2070,3685,130782,107516,97742,336040
Pinellas                 ,736,852,662,2250,3928,4280,6575,14783,1944,44400,9120,55464,6145,13136,10806,30087,214008,162252,147420,523680,2290,3432,3912,9634,645,1726,1596,3967,1409,2532,4985,8926,231105,232610,185076,648791
Polk                     ,500,460,415,1375,1223,1482,2220,4925,1880,42208,8416,52504,8395,23526,21672,53593,131200,76671,69937,277808,456,990,963,2409,412,928,953,2293,2310,3483,6953,12746,146376,149748,111529,407653
Putnam                   ,105,77,53,235,79,66,74,219,252,5861,707,6820,366,887,591,1844,16846,13075,7321,37242,44,64,56,164,25,53,49,127,173,332,267,772,17890,20415,9118,47423
Santa Rosa               ,471,145,160,776,994,335,646,1975,470,3918,1152,5540,1210,731,925,2866,71734,20592,24017,116343,886,405,665,1956,214,153,254,621,294,136,333,763,76273,26415,28152,130840
Sarasota                 ,371,317,294,982,940,923,1256,3119,521,7860,1719,10100,2386,4780,3770,10936,122897,75898,67860,266655,317,439,512,1268,232,467,457,1156,1864,1970,3876,7710,129528,92654,79744,301926
Seminole                 ,373,345,301,1019,1810,2478,3726,8014,1292,22084,5269,28645,7849,17722,14961,40532,96760,49777,49131,195668,2141,2524,3033,7698,424,1171,1197,2792,1124,2016,4456,7596,111773,98117,82074,291964
St. Johns                ,249,116,121,486,1112,694,1252,3058,459,5952,1332,7743,1985,1851,1977,5813,86518,31252,34179,151949,827,501,657,1985,228,264,342,834,332,248,755,1335,91710,40878,40615,173203
St. Lucie                ,210,265,159,634,555,860,1004,2419,1077,26240,5031,32348,3748,9228,6767,19743,55608,39022,37273,131903,806,1506,1064,3376,214,618,564,1396,330,872,1347,2549,62548,78611,53209,194368
Sumter                   ,173,98,66,337,255,119,215,589,144,2678,372,3194,549,628,561,1738,47405,19721,18083,85209,222,150,178,550,78,55,77,210,75,78,173,326,48901,23527,19725,92153
Suwannee                 ,54,26,18,98,39,27,25,91,130,2178,170,2478,193,249,174,616,10762,8257,3592,22611,108,139,67,314,12,18,9,39,56,47,72,175,11354,10941,4127,26422
Taylor                   ,28,21,9,58,30,78,14,122,38,1538,80,1656,47,61,24,132,4016,5195,981,10192,23,33,18,74,2,11,11,24,14,15,16,45,4198,6952,1153,12303
Union                    ,15,9,11,35,9,7,6,22,24,680,40,744,43,35,18,96,2894,2753,652,6299,14,15,7,36,3,7,5,15,0,2,7,9,3002,3508,746,7256
Volusia                  ,415,447,390,1252,941,1110,1584,3635,1081,25742,5703,32526,4757,13197,11110,29064,117893,83886,81438,283217,1592,2088,2926,6606,306,846,738,1890,854,1527,2867,5248,127839,128843,106756,363438
Wakulla                  ,30,39,21,90,36,31,19,86,51,1642,135,1828,90,80,51,221,7554,6974,3042,17570,17,20,21,58,11,18,23,52,38,31,71,140,7827,8835,3383,20045
Walton                   ,129,61,46,236,189,61,134,384,262,1045,208,1515,306,217,264,787,26184,8206,8392,42782,223,103,147,473,52,39,48,139,98,62,169,329,27443,9794,9408,46645
Washington               ,65,46,21,132,27,16,17,60,80,1421,141,1642,54,45,29,128,7246,3989,1700,12935,60,75,48,183,14,20,20,54,8,5,25,38,7554,5617,2001,15172
