County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,Unknown OP,Unknown Total,Total Rep,Total Dem,Total OP,Total Total
Alachua                  ,198,284,162,644,1001,2574,2700,6275,836,24526,4064,29426,2587,5642,4252,12481,43936,48362,27107,119405,972,2243,2654,5869,301,924,666,1891,266,588,1102,1956,50097,85143,42707,177947
Baker                    ,53,16,6,75,32,27,16,75,43,1332,69,1444,71,33,42,146,7341,4404,1371,13116,64,68,24,156,7,14,17,38,29,28,40,97,7640,5922,1585,15147
Bay                      ,344,167,157,668,792,346,581,1719,550,8213,1718,10481,968,824,981,2773,57131,21143,20289,98563,403,374,372,1149,197,218,298,713,613,413,924,1950,60998,31698,25320,118016
Bradford                 ,21,10,12,43,30,31,23,84,96,1853,179,2128,52,67,48,167,6983,4388,1947,13318,49,75,51,175,13,18,19,50,15,19,43,77,7259,6461,2322,16042
Brevard                  ,647,535,409,1591,2291,1829,2509,6629,1554,26883,5918,34355,5967,8973,7727,22667,159861,88702,85602,334165,1637,2095,2003,5735,510,884,1050,2444,852,1324,2270,4446,173319,131225,107488,412032
Broward                  ,753,1835,1141,3729,4824,12779,12971,30574,8061,223939,43597,275597,49743,102459,84483,236685,183801,222754,147569,554124,6333,19356,19036,44725,1255,6231,4443,11929,1817,8121,11954,21892,256587,597474,325194,1179255
Calhoun                  ,28,47,11,86,9,21,8,38,15,714,43,772,30,44,27,101,2125,4535,785,7445,12,32,16,60,4,8,4,16,22,32,24,78,2245,5433,918,8596
Charlotte                ,180,158,136,474,404,308,451,1163,249,3795,1021,5065,994,1669,1337,4000,53655,29122,31499,114276,694,658,653,2005,75,176,171,422,218,274,435,927,56469,36160,35703,128332
Citrus                   ,168,113,95,376,457,287,443,1187,161,1883,392,2436,842,1188,803,2833,46449,26244,23739,96432,601,517,572,1690,74,86,116,276,151,107,208,466,48903,30425,26368,105696
Clay                     ,373,136,150,659,1636,692,1321,3649,1085,10267,3170,14522,2600,2305,2964,7869,72772,17586,25121,115479,849,503,718,2070,267,238,396,901,451,344,697,1492,80033,32071,34537,146641
Collier                  ,163,87,84,334,612,410,621,1643,405,5445,1583,7433,5401,8171,7279,20851,94201,32034,39264,165499,913,664,881,2458,205,198,302,705,387,505,892,1784,102287,47514,50906,200707
Columbia                 ,89,62,35,186,104,84,118,306,159,4523,489,5171,347,315,341,1003,15446,9206,5429,30081,78,118,80,276,34,37,50,121,54,85,102,241,16311,14430,6644,37385
DeSoto                   ,24,10,7,41,25,28,33,86,65,1380,165,1610,197,762,598,1557,4716,5207,2433,12356,35,78,44,157,4,14,12,30,6,13,28,47,5072,7492,3320,15884
Dixie                    ,18,19,14,51,13,15,4,32,17,409,31,457,39,34,33,106,3494,4235,1382,9111,21,19,38,78,6,7,5,18,22,15,33,70,3630,4753,1540,9923
Duval                    ,862,862,566,2290,6640,4394,7137,18171,5995,133558,21981,161534,7241,10489,9667,27397,194853,82745,77078,354676,2730,3746,3702,10178,769,1636,1580,3985,1652,2863,5375,9890,220742,240293,127086,588121
Escambia                 ,732,437,325,1494,2131,958,1704,4793,1645,33741,5497,40883,1526,1308,1367,4201,85585,34108,31446,151139,1125,938,923,2986,369,497,514,1380,1056,650,1457,3163,94169,72637,43233,210039
Flagler                  ,107,79,72,258,432,319,495,1246,290,5664,1322,7276,1032,1958,1423,4413,28806,16078,17782,62666,493,720,602,1815,77,175,165,417,219,281,690,1190,31456,25274,22551,79281
Franklin                 ,2,11,5,18,4,10,3,17,7,498,20,525,10,29,9,48,2189,3547,843,6579,5,1,7,13,2,5,4,11,2,4,12,18,2221,4105,903,7229
Gadsden                  ,17,54,13,84,26,31,29,86,223,15834,722,16779,91,441,202,734,4020,5659,1427,11106,55,264,88,407,6,27,22,55,39,158,136,333,4477,22468,2639,29584
Gilchrist                ,14,14,11,39,19,14,9,42,13,211,28,252,73,68,48,189,5953,3216,1600,10769,36,28,32,96,4,7,6,17,6,3,10,19,6118,3561,1744,11423
