County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,Unknown OP,Unknown Total,Total Rep,Total Dem,Total OP,Total Total
Alachua                  ,185,281,161,627,"1,043","2,820",2884,6747,810,"24,188",4332,29330,"2,596","6,235",4659,13490,"43,834","49,010",27615,120459,"1,012","2,380",2636,6028,263,919,632,1814,328,831,1280,2439,"50,071","86,664",44199,180934
Baker                    ,48,16,5,69,40,30,19,89,42,"1,283",78,1403,78,27,39,144,"7,901","3,769",1434,13104,57,57,30,144,16,16,18,50,38,26,41,105,"8,220","5,224",1664,15108
Bay                      ,314,157,136,607,814,358,645,1817,543,"8,158",1904,10605,"1,006",895,1167,3068,"58,950","20,296",21532,100778,444,438,458,1340,190,211,251,652,623,419,942,1984,"62,884","30,932",27035,120851
Bradford                 ,20,6,11,37,32,27,26,85,94,"1,834",206,2134,61,62,62,185,"7,523","3,904",2118,13545,59,66,53,178,15,20,18,53,24,28,48,100,"7,828","5,947",2542,16317
Brevard                  ,637,507,420,1564,"2,457","1,938",2791,7186,"1,615","27,133",6485,35233,"6,454","9,833",8879,25166,"163,392","86,774",89165,339331,"1,777","2,362",2411,6550,512,854,965,2331,"1,099","1,557",2589,5245,"177,943","130,958",113705,422606
Broward                  ,712,"1,764",1080,3556,"4,873","13,094",13332,31299,"7,861","223,938",46773,278572,"51,495","106,554",92053,250102,"175,931","208,901",142884,527716,"6,464","20,189",19734,46387,"1,240","6,187",4332,11759,"2,293","9,660",13984,25937,"250,869","590,287",334172,1175328
Calhoun                  ,31,48,12,91,10,20,6,36,19,717,53,789,36,41,31,108,"2,524","4,126",860,7510,11,29,19,59,7,7,6,20,23,29,30,82,"2,661","5,017",1017,8695
Charlotte                ,195,139,137,471,451,315,503,1269,265,"3,824",1090,5179,"1,155","1,845",1584,4584,"57,782","29,437",32342,119561,660,660,651,1971,71,184,166,421,257,323,509,1089,"60,836","36,727",36982,134545
Citrus                   ,171,104,97,372,501,300,442,1243,185,"1,945",437,2567,975,"1,305",950,3230,"49,725","25,234",24520,99479,596,511,561,1668,74,75,103,252,195,134,248,577,"52,422","29,608",27358,109388
Clay                     ,355,129,145,629,"1,729",775,1473,3977,"1,076","11,381",3689,16146,"2,737","2,636",3425,8798,"74,625","17,840",26145,118610,904,586,768,2258,274,243,392,909,527,415,850,1792,"82,227","34,005",36887,153119
Collier                  ,161,106,103,370,716,490,714,1920,434,"5,629",1858,7921,"6,027","9,055",8471,23553,"99,114","34,001",41077,174192,"1,156",803,1068,3027,176,178,255,609,458,595,1019,2072,"108,242","50,857",54565,213664
Columbia                 ,87,59,42,188,121,99,135,355,201,"4,837",626,5664,420,371,399,1190,"17,614","8,675",5954,32243,98,118,94,310,34,31,55,120,73,100,132,305,"18,648","14,290",7437,40375
DeSoto                   ,21,10,9,40,28,23,36,87,61,"1,356",191,1608,232,833,716,1781,"5,286","4,852",2823,12961,37,70,55,162,4,11,15,30,8,21,37,66,"5,677","7,176",3882,16735
Dixie                    ,18,14,12,44,18,12,4,34,17,387,35,439,44,37,35,116,"3,825","3,612",1417,8854,27,14,34,75,8,9,6,23,27,19,39,85,"3,984","4,104",1582,9670
Duval                    ,837,871,610,2318,"6,871","4,854",7816,19541,"5,968","137,253",24881,168102,"7,616","12,003",11522,31141,"194,768","83,516",80517,358801,"2,864","4,135",4117,11116,790,"1,809",1661,4260,"1,858","3,424",6825,12107,"221,572","247,865",137949,607386
Escambia                 ,764,412,337,1513,"2,188","1,033",1764,4985,"1,631","33,963",5961,41555,"1,641","1,427",1548,4616,"86,808","32,938",32719,152465,"1,152",978,1037,3167,340,490,448,1278,"1,120",743,1545,3408,"95,644","71,984",45359,212987
Flagler                  ,107,83,68,258,442,358,521,1321,297,"5,654",1391,7342,"1,170","2,093",1615,4878,"31,111","16,197",18036,65344,498,707,596,1801,70,178,146,394,293,310,670,1273,"33,988","25,580",23043,82611
Franklin                 ,4,10,5,19,6,10,4,20,6,510,24,540,10,32,14,56,"2,608","3,433",1047,7088,8,3,5,16,3,6,4,13,9,6,16,31,"2,654","4,010",1119,7783
Gadsden                  ,16,53,17,86,25,33,30,88,221,"15,521",773,16515,112,508,263,883,"4,286","5,229",1562,11077,53,235,79,367,3,30,27,60,40,149,185,374,"4,756","21,758",2936,29450
Gilchrist                ,15,11,9,35,23,9,10,42,13,208,32,253,80,74,55,209,"6,391","2,953",1712,11056,34,28,38,100,5,8,7,20,15,7,14,36,"6,576","3,298",1877,11751
Glades                   ,35,96,41,172,8,8,5,21,13,400,33,446,136,290,187,613,"2,541","1,926",969,5436,18,25,11,54,4,8,8,20,3,6,13,22,"2,758","2,759",1267,6784
Gulf                     ,19,16,2,37,16,14,8,38,26,855,60,941,28,31,13,72,"4,838","2,964",1182,8984,18,20,16,54,7,10,8,25,11,15,21,47,"4,963","3,925",1310,10198
Hamilton                 ,6,6,5,17,17,7,8,32,69,"1,965",158,2192,52,70,52,174,"2,354","2,131",755,5240,20,14,7,41,3,7,7,17,5,4,5,14,"2,526","4,204",997,7727
Hardee                   ,12,11,9,32,32,42,31,105,40,627,104,771,585,"1,177",793,2555,"4,667","2,471",1266,8404,50,63,40,153,13,16,12,41,37,52,89,178,"5,436","4,459",2344,12239
Hendry                   ,33,116,58,207,26,58,33,117,84,"2,158",230,2472,"1,411","2,368",1408,5187,"4,811","2,936",1563,9310,85,155,89,329,28,31,21,80,17,12,42,71,"6,495","7,834",3444,17773
Hernando                 ,197,137,167,501,399,385,452,1236,312,"4,507",1042,5861,"2,618","5,594",3674,11886,"51,127","30,416",28765,110308,492,625,642,1759,112,201,237,550,316,362,1074,1752,"55,573","42,227",36053,133853
Highlands                ,87,68,54,209,224,130,264,618,195,"3,690",760,4645,"1,527","2,698",2519,6744,"25,090","11,072",9693,45855,191,209,176,576,43,66,64,173,104,104,244,452,"27,461","18,037",13774,59272
Hillsborough             ,861,951,807,2619,"5,518","7,465",11235,24218,"4,741","101,461",25638,131840,"27,519","65,729",56785,150033,"223,973","142,520",135009,501502,"2,458","5,079",4930,12467,"1,063","3,179",3072,7314,"4,210","8,625",14438,27273,"270,343","335,009",251914,857266
Holmes                   ,43,19,6,68,23,13,6,42,25,164,39,228,31,26,11,68,"6,112","2,975",1132,10219,25,12,12,49,10,6,6,22,16,11,28,55,"6,285","3,226",1240,10751
Indian River             ,125,63,95,283,323,248,401,972,358,"5,548",1229,7135,"1,295","2,303",2215,5813,"49,540","21,788",24413,95741,455,444,500,1399,76,120,150,346,416,429,892,1737,"52,588","30,943",29895,113426
Jackson                  ,63,49,20,132,31,29,27,87,176,"5,599",422,6197,122,108,81,311,"10,008","8,290",2311,20609,78,153,64,295,28,34,44,106,63,101,95,259,"10,569","14,363",3064,27996
Jefferson                ,13,9,4,26,11,15,5,31,29,"2,845",129,3003,38,41,32,111,"3,137","2,427",926,6490,13,36,20,69,7,10,5,22,10,10,19,39,"3,258","5,393",1140,9791
