County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,Unknown OP,Unknown Total,Total Rep,Total Dem,Total OP,Total Total
Lafayette                ,1,2,2,5,5,2,1,8,13,215,11,239,39,56,28,123,"1,744","1,951",262,3957,4,6,3,13,3,1,4,8,0,1,2,3,"1,809","2,234",313,4356
Lake                     ,288,211,225,724,910,"1,207",1352,3469,960,"15,130",3277,19367,"4,461","9,411",8138,22010,"95,294","43,292",43814,182400,892,"1,505",1394,3791,304,515,503,1322,560,883,1552,2995,"103,669","72,154",60255,236078
Lee                      ,511,306,359,1176,"1,366","1,407",2197,4970,"1,207","18,064",5947,25218,"9,504","18,715",18340,46559,"175,166","78,179",100159,353504,851,"1,217",1459,3527,419,788,821,2028,"2,313","2,519",4459,9291,"191,337","121,195",133741,446273
Leon                     ,191,322,172,685,718,"1,712",1523,3953,"1,295","49,704",8034,59033,"2,084","4,559",2870,9513,"52,275","50,953",25694,128922,660,"1,749",1338,3747,257,"1,240",769,2266,532,"1,538",3006,5076,"58,012","111,777",43406,213195
Levy                     ,34,24,27,85,51,40,40,131,105,"1,865",218,2188,276,385,357,1018,"12,547","6,626",4680,23853,119,175,127,421,25,27,23,75,19,25,44,88,"13,176","9,167",5516,27859
Liberty                  ,9,22,5,36,2,7,2,11,10,369,25,404,14,23,11,48,905,"2,598",336,3839,3,7,4,14,0,3,5,8,0,4,10,14,943,"3,033",398,4374
Madison                  ,17,17,8,42,12,11,5,28,87,"3,693",211,3991,44,71,50,165,"3,364","2,884",967,7215,28,116,27,171,9,14,9,32,48,71,77,196,"3,609","6,877",1354,11840
Manatee                  ,301,236,219,756,"1,160","1,056",1544,3760,649,"12,701",2652,16002,"3,205","6,955",6078,16238,"98,742","51,331",50111,200184,755,918,1101,2774,228,525,533,1286,824,"1,120",2144,4088,"105,864","74,842",64382,245088
Marion                   ,376,289,226,891,834,903,897,2634,"1,034","19,788",3167,23989,"4,650","9,533",6131,20314,"99,547","46,729",42369,188645,859,"1,265",984,3108,227,440,389,1056,480,736,1235,2451,"108,007","79,683",55398,243088
Martin                   ,122,69,77,268,281,245,399,925,316,"2,815",665,3796,"1,493","2,040",1954,5487,"53,876","22,982",24252,101110,352,328,450,1130,101,144,168,413,216,236,551,1003,"56,757","28,859",28516,114132
Miami-Dade               ,398,"1,280",680,2358,"2,636","6,606",7529,16771,"6,572","200,098",36405,243075,"275,177","259,470",285856,820503,"78,384","100,849",75960,255193,"2,399","5,557",5225,13181,931,"4,029",3345,8305,"9,877","21,907",37686,69470,"376,374","599,796",452686,1428856
Monroe                   ,85,84,61,230,129,163,182,474,88,"1,331",402,1821,"2,190","2,031",1775,5996,"18,250","13,437",12142,43829,87,112,120,319,51,102,105,258,208,298,436,942,"21,088","17,558",15223,53869
Nassau                   ,122,46,57,225,195,96,178,469,185,"2,870",509,3564,451,359,450,1260,"36,875","10,673",12058,59606,354,298,222,874,63,49,70,182,194,120,304,618,"38,439","14,511",13848,66798
Okaloosa                 ,449,111,175,735,"1,725",537,1164,3426,920,"6,895",2384,10199,"1,888","1,339",1941,5168,"71,436","15,645",23817,110898,923,437,720,2080,365,305,517,1187,536,361,973,1870,"78,242","25,630",31691,135563
Okeechobee               ,35,42,28,105,31,51,48,130,50,847,127,1024,447,"1,024",754,2225,"8,327","5,174",2952,16453,69,96,102,267,24,22,34,80,59,48,161,268,"9,042","7,304",4206,20552
Orange                   ,596,959,675,2230,"6,949","10,003",13002,29954,"4,543","104,036",25888,134467,"28,068","93,702",77665,199435,"162,951","108,471",103045,374467,"2,520","6,918",6155,15593,"1,082","3,654",3154,7890,"4,329","11,807",18201,34337,"211,038","339,550",247785,798373
Osceola                  ,172,227,173,572,887,"1,736",1796,4419,763,"13,727",4278,18768,"12,132","51,651",41167,104950,"34,028","21,478",22975,78481,742,"2,236",1937,4915,247,903,789,1939,551,"1,742",2417,4710,"49,522","93,700",75532,218754
Palm Beach               ,567,942,675,2184,"3,188","6,250",7808,17246,"4,192","102,696",23776,130664,"21,047","47,179",41514,109740,"225,674","216,371",174508,616553,"2,110","4,707",4530,11347,854,"2,686",2383,5923,"6,203","13,978",19734,39915,"263,835","394,809",274928,933572
Pasco                    ,485,366,424,1275,"1,770","1,861",2743,6374,864,"12,485",4027,17376,"7,111","14,348",12329,33788,"124,281","76,833",79579,280693,"1,588","2,078",2284,5950,353,631,720,1704,871,"1,322",2596,4789,"137,323","109,924",104702,351949
Pinellas                 ,719,812,658,2189,"4,141","4,653",7149,15943,"1,913","44,152",9949,56014,"6,618","14,632",12514,33764,"216,916","165,008",151770,533694,"2,400","3,780",4481,10661,588,"1,658",1572,3818,"1,706","3,248",5839,10793,"235,001","237,943",193932,666876
Polk                     ,473,412,398,1283,"1,293","1,528",2399,5220,"1,828","41,814",9279,52921,"9,538","27,384",27944,64866,"132,668","70,326",71713,274707,665,"1,342",1468,3475,351,872,872,2095,"2,314","3,497",6839,12650,"149,130","147,175",120912,417217
Putnam                   ,105,72,50,227,84,60,82,226,240,"5,594",742,6576,374,862,632,1868,"18,109","11,650",7509,37268,54,66,83,203,30,56,44,130,160,295,265,720,"19,156","18,655",9407,47218
Santa Rosa               ,474,131,156,761,"1,042",349,706,2097,474,"3,819",1248,5541,"1,301",800,1030,3131,"72,968","19,509",24792,117269,868,419,684,1971,201,156,231,588,361,205,433,999,"77,689","25,388",29280,132357
Sarasota                 ,379,307,281,967,"1,060","1,003",1435,3498,491,"7,894",1890,10275,"2,638","5,336",4325,12299,"127,653","79,181",71609,278443,449,636,740,1825,245,443,469,1157,"2,453","3,027",4440,9920,"135,368","97,827",85189,318384
Seminole                 ,355,325,302,982,"1,843","2,698",4099,8640,"1,306","23,159",6113,30578,"8,315","19,600",17504,45419,"95,265","51,468",50769,197502,"2,058","2,666",3170,7894,471,"1,212",1274,2957,"1,417","2,688",5591,9696,"111,030","103,816",88822,303668
St. Johns                ,257,117,126,500,"1,288",858,1552,3698,509,"6,277",1592,8378,"2,275","2,302",2338,6915,"92,545","33,934",36255,162734,903,641,824,2368,213,270,337,820,426,381,905,1712,"98,416","44,780",43929,187125
St. Lucie                ,217,245,172,634,592,931,1093,2616,"1,100","27,520",5715,34335,"4,196","10,205",8112,22513,"58,255","38,392",38310,134957,848,"1,643",1174,3665,222,671,565,1458,406,"1,041",1506,2953,"65,836","80,648",56647,203131
Sumter                   ,184,91,61,336,281,143,250,674,143,"2,594",389,3126,618,651,605,1874,"50,517","20,176",18458,89151,235,160,188,583,77,52,83,212,196,124,221,541,"52,251","23,991",20255,96497
Suwannee                 ,48,27,18,93,46,27,33,106,126,"2,057",166,2349,231,269,207,707,"11,446","7,028",3545,22019,107,125,69,301,14,18,10,42,68,47,81,196,"12,086","9,598",4129,25813
Taylor                   ,28,23,12,63,29,74,16,119,40,"1,513",91,1644,48,55,33,136,"4,410","4,524",1095,10029,20,36,20,76,5,12,8,25,16,17,17,50,"4,596","6,254",1292,12142
Union                    ,13,11,11,35,10,7,7,24,29,662,44,735,52,40,29,121,"3,274","2,469",661,6404,17,14,7,38,6,9,4,19,4,8,8,20,"3,405","3,220",771,7396
Volusia                  ,444,449,402,1295,"1,073","1,198",1781,4052,"1,145","26,558",6395,34098,"5,469","14,805",13408,33682,"125,228","83,009",85807,294044,"1,568","2,123",2911,6602,333,899,776,2008,"1,049","1,890",3688,6627,"136,309","130,931",115168,382408
Wakulla                  ,30,35,22,87,39,29,25,93,61,"1,686",171,1918,99,82,63,244,"8,460","6,461",3245,18166,19,29,33,81,16,22,26,64,44,34,79,157,"8,768","8,378",3664,20810
Walton                   ,145,63,57,265,224,69,151,444,236,"1,090",257,1583,376,254,329,959,"28,855","8,019",9044,45918,235,115,163,513,52,36,47,135,149,84,213,446,"30,272","9,730",10261,50263
Washington               ,69,40,22,131,30,16,21,67,95,"1,449",158,1702,64,51,45,160,"7,885","3,604",1955,13444,67,74,50,191,17,17,23,57,15,9,41,65,"8,242","5,260",2315,15817
